environment,severity_weight,public_exposure,privilege_level,encryption_disabled,port_risk,history_incidents,mitre_tactic_score
prod,0.10898337589099204,0,2,1,0.6446703707328564,1,0.5
dev,0.6819937224187194,0,1,0,0.550574831200552,3,0.5
staging,0.5936249019471309,1,3,1,0.7000794879581903,0,0.5
dev,0.44596652019808325,0,1,1,0.5932716142050327,3,0.5
prod,0.6461172906631164,0,3,0,0.58164400685559,8,0.5
dev,0.9632877782387548,0,3,1,0.10864298197608457,3,0.5
prod,0.4564349026825544,1,3,1,0.5347717887931828,7,0.5
staging,0.2598302579193754,1,1,0,0.24282924810109363,8,0.9
prod,0.42685716996071044,0,2,1,0.11268800156661174,6,0.5
staging,0.20998948067069978,0,1,1,0.3547883534030486,3,0.5
staging,0.725780355234922,0,3,0,0.4963071539607039,9,0.9
staging,0.188850514344178,0,2,1,0.40398042414641666,5,0.5
dev,0.8045335475001147,1,2,1,0.28860634331863,6,0.5
dev,0.3719690939113103,0,3,1,0.4352249946530037,5,0.5
staging,0.4343177591595946,0,1,0,0.4519029145891884,5,0.5
staging,0.14801379866512704,0,2,0,0.19944659740059667,2,0.5
dev,0.6519368675814563,0,2,1,0.5441330798920667,9,0.5
dev,0.8385348942495332,0,3,1,0.7773136168596142,6,0.5
staging,0.9886760604940258,1,1,0,0.1013575727792424,1,0.9
prod,0.12163612537222296,0,2,0,0.8945627046429192,6,0.5
dev,0.32564505288000634,0,1,1,0.05931583304642796,7,0.5
dev,0.4721403395323185,1,3,0,0.45544604143422274,8,0.5
staging,0.6499375692050483,1,1,0,0.05238316885610084,5,0.5
prod,0.14165798282522504,1,3,1,0.8492450338384316,5,0.5
dev,0.7653333002908607,0,2,1,0.5398011159122262,6,0.9
prod,0.7559148776400353,0,1,1,0.5756040562158872,2,0.5
staging,0.9162651564815382,0,1,1,0.06410151783057505,9,0.5
staging,0.8952791893113985,0,1,1,0.11230950781593152,6,0.5
prod,0.4204208105403542,0,2,0,0.28138087844082693,1,0.5
prod,0.8088898833524065,0,1,0,0.9189306160379029,8,0.5
dev,0.17218634696422525,1,1,1,0.7350024085713649,7,0.5
