environment,severity_weight,public_exposure,privilege_level,encryption_disabled,port_risk,history_incidents,mitre_tactic_score,env_encoded,env_prod
prod,0.009968626252353618,0,2,1,0.6446005659521641,0.1111111111111111,0.0,1,1
dev,0.6469999542526375,0,1,0,0.5504600180821309,0.3333333333333333,0.0,0,0
staging,0.5487579113297517,1,3,1,0.700036186795775,0.0,0.0,2,0
dev,0.38460203598480774,0,1,1,0.5931772240656279,0.3333333333333333,0.0,0,0
prod,0.6071151404727917,0,3,0,0.5815440549299288,0.8888888888888888,0.0,1,1
dev,0.9597222759759368,0,3,1,0.1083167813889071,0.3333333333333333,0.0,0,0
prod,0.39624002408835224,1,3,1,0.5346494166695915,0.7777777777777777,0.0,1,1
staging,0.17766924486342323,1,1,0,0.24256723228626922,0.8888888888888888,1.0,2,0
prod,0.36335764688659605,0,2,1,0.11236373581724653,0.6666666666666666,0.0,1,1
staging,0.12225988495973801,0,1,1,0.35457989053290456,0.3333333333333333,0.0,2,0
staging,0.6956787556400688,0,3,0,0.49616638320436385,1.0,1.0,2,0
staging,0.09875911595418953,0,2,1,0.4037954911199251,0.5555555555555556,0.0,2,0
dev,0.7832308407934383,1,2,1,0.2883662238760676,0.6666666666666666,0.0,0,0
dev,0.30233706638746544,0,3,1,0.43505500671517994,0.5555555555555556,0.0,0,0
staging,0.37165178864831,0,1,0,0.45174090413315426,0.5555555555555556,0.0,2,0
staging,0.053359818406013323,0,2,0,0.19916383053844305,0.2222222222222222,0.0,2,0
dev,0.6135849238460845,0,2,1,0.544015185516873,1.0,0.0,0,0
dev,0.8210310711118486,0,3,1,0.7773072587847784,0.6666666666666666,0.0,0,0
staging,0.9879471261182172,1,1,0,0.1010278873918369,0.1111111111111111,1.0,2,0
prod,0.02403503509422851,0,2,0,0.8946124298486253,0.6666666666666666,0.0,1,1
dev,0.25083735865036744,0,1,1,0.05896603800419706,0.7777777777777777,0.0,0,0
dev,0.4137001892561477,1,3,0,0.4552857257476797,0.8888888888888888,0.0,0,0
staging,0.6113622489720448,1,1,0,0.05203005774072994,0.5555555555555556,0.0,2,0
prod,0.0462938835070139,1,3,1,0.8492730824264917,0.5555555555555556,0.0,1,1
dev,0.7396508501545744,0,2,1,0.5396811494462745,0.6666666666666666,1.0,0,0
prod,0.7291801312133189,0,1,1,0.5755012152251373,0.2222222222222222,0.0,1,1
staging,0.9074459368739075,0,1,1,0.06375401190553397,1.0,0.0,2,0
staging,0.8841152612294364,0,1,1,0.11198506102318592,0.6666666666666666,0.0,2,0
prod,0.35620216947875794,0,2,0,0.28113730287095934,0.1111111111111111,0.0,1,1
prod,0.7880738989162404,0,1,0,0.9189919970478189,0.8888888888888888,0.0,1,1
dev,0.08023310374446645,1,1,1,0.7349758119479026,0.7777777777777777,0.0,0,0
dev,0.6053217104599958,0,3,1,0.9147101458166406,0.8888888888888888,1.0,0,0
staging,0.19887593394105485,0,2,0,0.23706299298421557,0.6666666666666666,0.0,2,0
prod,0.3262861478948076,1,3,1,0.01729912795707788,0.7777777777777777,0.0,1,1
prod,0.07876918445520308,1,2,0,0.6704076924897221,0.7777777777777777,0.0,1,1
dev,0.027281162420186425,1,2,0,0.35559014994130445,1.0,0.0,0,0
staging,0.02022330855963418,0,1,1,0.5620883559383303,0.5555555555555556,0.0,2,0
staging,0.1933016169514158,1,3,1,0.8984237735246311,0.1111111111111111,0.0,2,0
prod,0.5017193542500654,0,2,0,0.45496052474571486,0.7777777777777777,0.0,1,1
dev,0.048560408261745194,0,3,1,0.8736236696291247,0.8888888888888888,0.0,0,0
dev,0.8783765223298496,0,3,0,0.9490674395170092,0.2222222222222222,0.0,0,0
prod,0.7260604887554439,1,1,0,0.6546131832754307,0.3333333333333333,0.0,1,1
prod,0.8625911906571646,1,3,1,0.028765615446914285,0.3333333333333333,0.0,1,1
dev,0.1994728170063596,1,3,0,0.4084930230130104,1.0,0.0,0,0
staging,0.7999469957885708,0,3,0,0.12197647983472533,0.2222222222222222,0.0,2,0
dev,0.8078287838016397,1,3,0,0.05892493870929299,0.3333333333333333,0.0,0,0
prod,0.20826214043764413,0,1,0,0.6618764465384324,0.7777777777777777,0.0,1,1
dev,0.04376735389916454,1,2,0,0.5948716725188885,0.2222222222222222,0.0,0,0
dev,0.2967983698058917,1,1,0,0.6280097232154751,0.7777777777777777,0.0,0,0
prod,0.45571631054689743,1,1,0,0.6591652693694231,0.0,0.0,1,1
dev,0.9145373975877752,1,2,1,0.8092541922373492,0.8888888888888888,0.0,0,0
dev,0.20151447116010685,0,1,0,0.4802036207759812,0.7777777777777777,0.0,0,0
dev,0.45747405501039995,1,3,0,0.5531681363200699,0.5555555555555556,0.0,0,0
prod,0.18424357531134977,1,2,1,0.4779322323467571,0.0,0.0,1,1
staging,0.19380552404060675,1,3,0,0.2867307738840726,0.3333333333333333,0.0,2,0
prod,0.2432589660915142,0,3,1,0.32982346045722677,0.1111111111111111,1.0,1,1
dev,0.6641623620198527,0,3,0,0.6760581038451057,0.0,0.0,0,0
prod,0.6372381228111601,0,2,1,0.6808924402696133,0.2222222222222222,0.0,1,1
staging,0.6126570563727332,1,1,1,0.02146612637345374,0.8888888888888888,0.0,2,0
staging,0.6821738029628602,1,3,0,0.523385217721589,0.0,0.0,2,0
dev,0.33257760141598697,1,3,0,0.8623573023302376,0.8888888888888888,0.0,0,0
staging,0.852477136097934,0,2,0,0.9491051774213868,0.7777777777777777,0.0,2,0
