technique_id,name,impact,mitre_tactic_score
T1055.011,Extra Window Memory Injection,Medium,0.5
T1053.005,Scheduled Task,High,0.9
T1205.002,Socket Filters,Medium,0.5
T1066,Indicator Removal from Tools,Medium,0.5
T1560.001,Archive via Utility,Medium,0.5
T1021.005,VNC,Medium,0.5
T1047,Windows Management Instrumentation,High,0.9
T1156,Malicious Shell Modification,Medium,0.5
T1113,Screen Capture,Medium,0.5
T1027.011,Fileless Storage,Medium,0.5
T1067,Bootkit,Medium,0.5
T1037,Boot or Logon Initialization Scripts,Medium,0.5
T1557,Adversary-in-the-Middle,Medium,0.5
T1033,System Owner/User Discovery,Medium,0.5
T1583,Acquire Infrastructure,Medium,0.5
T1218.011,Rundll32,Medium,0.5
T1613,Container and Resource Discovery,Medium,0.5
T1583.007,Serverless,Medium,0.5
T1143,Hidden Window,Medium,0.5
T1161,LC_LOAD_DYLIB Addition,Medium,0.5
T1132.001,Standard Encoding,Medium,0.5
T1027.009,Embedded Payloads,Medium,0.5
T1150,Plist Modification,Medium,0.5
T1556.003,Pluggable Authentication Modules,Medium,0.5
T1578.004,Revert Cloud Instance,Medium,0.5
T1148,HISTCONTROL,Medium,0.5
T1592,Gather Victim Host Information,Medium,0.5
T1596.003,Digital Certificates,Medium,0.5
T1056.001,Keylogging,Medium,0.5
T1564.012,File/Path Exclusions,Medium,0.5
T1222.002,Linux and Mac File and Directory Permissions Modification,Medium,0.5
T1110.001,Password Guessing,Medium,0.5
T1216.001,PubPrn,Medium,0.5
T1597.002,Purchase Technical Data,Medium,0.5
T1003,OS Credential Dumping,Medium,0.5
T1129,Shared Modules,High,0.9
T1602,Data from Configuration Repository,Medium,0.5
T1561.002,Disk Structure Wipe,Medium,0.5
T1498.001,Direct Network Flood,Medium,0.5
T1492,Stored Data Manipulation,Medium,0.5
T1574.007,Path Interception by PATH Environment Variable,Medium,0.5
T1213.002,Sharepoint,Medium,0.5
T1006,Direct Volume Access,Medium,0.5
T1044,File System Permissions Weakness,Medium,0.5
T1588.007,Artificial Intelligence,Medium,0.5
T1666,Modify Cloud Resource Hierarchy,Medium,0.5
T1564.008,Email Hiding Rules,Medium,0.5
T1491.002,External Defacement,Medium,0.5
T1027.013,Encrypted/Encoded File,Medium,0.5
T1171,LLMNR/NBT-NS Poisoning and Relay,Medium,0.5
T1590.005,IP Addresses,Medium,0.5
T1499.001,OS Exhaustion Flood,Medium,0.5
T1014,Rootkit,Medium,0.5
T1546.013,PowerShell Profile,Medium,0.5
T1059.007,JavaScript,High,0.9
T1590.002,DNS,Medium,0.5
T1501,Systemd Service,Medium,0.5
T1485.001,Lifecycle-Triggered Deletion,Medium,0.5
T1514,Elevated Execution with Prompt,Medium,0.5
T1123,Audio Capture,Medium,0.5
T1543,Create or Modify System Process,Medium,0.5
T1133,External Remote Services,High,0.9
T1109,Component Firmware,Medium,0.5
T1546.006,LC_LOAD_DYLIB Addition,Medium,0.5
T1539,Steal Web Session Cookie,Medium,0.5
T1053.007,Container Orchestration Job,High,0.9
T1568.002,Domain Generation Algorithms,Medium,0.5
T1036.007,Double File Extension,Medium,0.5
T1548.002,Bypass User Account Control,Medium,0.5
T1099,Timestomp,Medium,0.5
T1496.003,SMS Pumping,Medium,0.5
T1016.001,Internet Connection Discovery,Medium,0.5
T1548.003,Sudo and Sudo Caching,Medium,0.5
T1560.003,Archive via Custom Method,Medium,0.5
T1578,Modify Cloud Compute Infrastructure,Medium,0.5
T1584.008,Network Devices,Medium,0.5
T1583.008,Malvertising,Medium,0.5
T1069,Permission Groups Discovery,Medium,0.5
T1114,Email Collection,Medium,0.5
T1003.002,Security Account Manager,Medium,0.5
T1596.002,WHOIS,Medium,0.5
T1542.001,System Firmware,Medium,0.5
T1594,Search Victim-Owned Websites,Medium,0.5
T1069.003,Cloud Groups,Medium,0.5
T1574.011,Services Registry Permissions Weakness,Medium,0.5
T1596.001,DNS/Passive DNS,Medium,0.5
T1499.003,Application Exhaustion Flood,Medium,0.5
T1163,Rc.common,Medium,0.5
T1195.001,Compromise Software Dependencies and Development Tools,High,0.9
T1588.004,Digital Certificates,Medium,0.5
T1583.002,DNS Server,Medium,0.5
T1561,Disk Wipe,Medium,0.5
T1071.004,DNS,Medium,0.5
T1552.005,Cloud Instance Metadata API,Medium,0.5
T1555.002,Securityd Memory,Medium,0.5
T1615,Group Policy Discovery,Medium,0.5
T1542.003,Bootkit,Medium,0.5
T1025,Data from Removable Media,Medium,0.5
T1116,Code Signing,Medium,0.5
T1218.013,Mavinject,Medium,0.5
T1522,Cloud Instance Metadata API,Medium,0.5
T1093,Process Hollowing,Medium,0.5
T1074.001,Local Data Staging,Medium,0.5
T1036.005,Match Legitimate Resource Name or Location,Medium,0.5
T1172,Domain Fronting,Medium,0.5
T1587.003,Digital Certificates,Medium,0.5
T1565.001,Stored Data Manipulation,Medium,0.5
T1110.002,Password Cracking,Medium,0.5
T1178,SID-History Injection,Medium,0.5
T1114.001,Local Email Collection,Medium,0.5
T1555.001,Keychain,Medium,0.5
T1547,Boot or Logon Autostart Execution,Medium,0.5
T1003.004,LSA Secrets,Medium,0.5
T1013,Port Monitors,Medium,0.5
T1600,Weaken Encryption,Medium,0.5
T1606.002,SAML Tokens,Medium,0.5
T1192,Spearphishing Link,High,0.9
T1036.008,Masquerade File Type,Medium,0.5
T1489,Service Stop,Medium,0.5
T1587.001,Malware,Medium,0.5
T1121,Regsvcs/Regasm,High,0.9
T1652,Device Driver Discovery,Medium,0.5
