technique_id,name,impact
T1055.011,Extra Window Memory Injection,Medium
T1053.005,Scheduled Task,High
T1205.002,Socket Filters,Medium
T1066,Indicator Removal from Tools,Medium
T1560.001,Archive via Utility,Medium
T1021.005,VNC,Medium
T1047,Windows Management Instrumentation,High
T1156,Malicious Shell Modification,Medium
T1113,Screen Capture,Medium
T1027.011,Fileless Storage,Medium
T1067,Bootkit,Medium
T1037,Boot or Logon Initialization Scripts,Medium
T1557,Adversary-in-the-Middle,Medium
T1033,System Owner/User Discovery,Medium
T1583,Acquire Infrastructure,Medium
T1218.011,Rundll32,Medium
T1613,Container and Resource Discovery,Medium
T1583.007,Serverless,Medium
T1143,Hidden Window,Medium
T1161,LC_LOAD_DYLIB Addition,Medium
T1132.001,Standard Encoding,Medium
T1027.009,Embedded Payloads,Medium
T1150,Plist Modification,Medium
T1556.003,Pluggable Authentication Modules,Medium
T1578.004,Revert Cloud Instance,Medium
T1148,HISTCONTROL,Medium
T1592,Gather Victim Host Information,Medium
T1596.003,Digital Certificates,Medium
T1056.001,Keylogging,Medium
T1564.012,File/Path Exclusions,Medium
T1222.002,Linux and Mac File and Directory Permissions Modification,Medium
T1110.001,Password Guessing,Medium
T1216.001,PubPrn,Medium
T1597.002,Purchase Technical Data,Medium
T1003,OS Credential Dumping,Medium
T1129,Shared Modules,High
T1602,Data from Configuration Repository,Medium
T1561.002,Disk Structure Wipe,Medium
T1498.001,Direct Network Flood,Medium
T1492,Stored Data Manipulation,Medium
T1574.007,Path Interception by PATH Environment Variable,Medium
T1213.002,Sharepoint,Medium
T1006,Direct Volume Access,Medium
T1044,File System Permissions Weakness,Medium
T1588.007,Artificial Intelligence,Medium
T1666,Modify Cloud Resource Hierarchy,Medium
T1564.008,Email Hiding Rules,Medium
T1491.002,External Defacement,Medium
T1027.013,Encrypted/Encoded File,Medium
T1171,LLMNR/NBT-NS Poisoning and Relay,Medium
T1590.005,IP Addresses,Medium
T1499.001,OS Exhaustion Flood,Medium
T1014,Rootkit,Medium
T1546.013,PowerShell Profile,Medium
T1059.007,JavaScript,High
T1590.002,DNS,Medium
T1501,Systemd Service,Medium
T1485.001,Lifecycle-Triggered Deletion,Medium
T1514,Elevated Execution with Prompt,Medium
T1123,Audio Capture,Medium
T1543,Create or Modify System Process,Medium
T1133,External Remote Services,High
T1109,Component Firmware,Medium
T1546.006,LC_LOAD_DYLIB Addition,Medium
T1539,Steal Web Session Cookie,Medium
T1053.007,Container Orchestration Job,High
T1568.002,Domain Generation Algorithms,Medium
T1036.007,Double File Extension,Medium
T1548.002,Bypass User Account Control,Medium
T1099,Timestomp,Medium
T1496.003,SMS Pumping,Medium
T1016.001,Internet Connection Discovery,Medium
T1548.003,Sudo and Sudo Caching,Medium
T1560.003,Archive via Custom Method,Medium
T1578,Modify Cloud Compute Infrastructure,Medium
T1584.008,Network Devices,Medium
T1583.008,Malvertising,Medium
T1069,Permission Groups Discovery,Medium
T1114,Email Collection,Medium
T1003.002,Security Account Manager,Medium
T1596.002,WHOIS,Medium
T1542.001,System Firmware,Medium
T1594,Search Victim-Owned Websites,Medium
T1069.003,Cloud Groups,Medium
T1574.011,Services Registry Permissions Weakness,Medium
T1596.001,DNS/Passive DNS,Medium
T1499.003,Application Exhaustion Flood,Medium
T1163,Rc.common,Medium
T1195.001,Compromise Software Dependencies and Development Tools,High
T1588.004,Digital Certificates,Medium
T1583.002,DNS Server,Medium
T1561,Disk Wipe,Medium
T1071.004,DNS,Medium
T1552.005,Cloud Instance Metadata API,Medium
T1555.002,Securityd Memory,Medium
T1615,Group Policy Discovery,Medium
T1542.003,Bootkit,Medium
T1025,Data from Removable Media,Medium
T1116,Code Signing,Medium
T1218.013,Mavinject,Medium
T1522,Cloud Instance Metadata API,Medium
T1093,Process Hollowing,Medium
T1074.001,Local Data Staging,Medium
T1036.005,Match Legitimate Resource Name or Location,Medium
T1172,Domain Fronting,Medium
T1587.003,Digital Certificates,Medium
T1565.001,Stored Data Manipulation,Medium
T1110.002,Password Cracking,Medium
T1178,SID-History Injection,Medium
T1114.001,Local Email Collection,Medium
T1555.001,Keychain,Medium
T1547,Boot or Logon Autostart Execution,Medium
T1003.004,LSA Secrets,Medium
T1013,Port Monitors,Medium
T1600,Weaken Encryption,Medium
T1606.002,SAML Tokens,Medium
T1192,Spearphishing Link,High
T1036.008,Masquerade File Type,Medium
T1489,Service Stop,Medium
T1587.001,Malware,Medium
T1121,Regsvcs/Regasm,High
T1652,Device Driver Discovery,Medium
T1206,Sudo Caching,Medium
T1087.002,Domain Account,Medium
T1547.014,Active Setup,Medium
T1564,Hide Artifacts,Medium
T1559.002,Dynamic Data Exchange,High
T1204.002,Malicious File,High
T1591.003,Identify Business Tempo,Medium
T1063,Security Software Discovery,Medium
T1071.005,Publish/Subscribe Protocols,Medium
T1592.001,Hardware,Medium
T1080,Taint Shared Content,Medium
T1484.002,Trust Modification,Medium
T1213.006,Databases,Medium
T1573.001,Symmetric Cryptography,Medium
T1087.001,Local Account,Medium
T1167,Securityd Memory,Medium
T1586.001,Social Media Accounts,Medium
T1176.001,Browser Extensions,Medium
T1527,Application Access Token,Medium
T1562.009,Safe Mode Boot,Medium
T1180,Screensaver,Medium
T1542.005,TFTP Boot,Medium
T1543.003,Windows Service,Medium
T1568.001,Fast Flux DNS,Medium
T1497.001,System Checks,Medium
T1053.003,Cron,High
T1069.002,Domain Groups,Medium
T1588.006,Vulnerabilities,Medium
T1566.002,Spearphishing Link,High
T1165,Startup Items,Medium
T1070.002,Clear Linux or Mac System Logs,Medium
T1499.004,Application or System Exploitation,Medium
T1137,Office Application Startup,Medium
T1218.004,InstallUtil,Medium
T1598.003,Spearphishing Link,Medium
T1021.004,SSH,Medium
T1098.003,Additional Cloud Roles,Medium
T1547.012,Print Processors,Medium
T1089,Disabling Security Tools,Medium
T1487,Disk Structure Wipe,Medium
T1566.001,Spearphishing Attachment,High
T1214,Credentials in Registry,Medium
T1027.008,Stripped Payloads,Medium
T1559.001,Component Object Model,High
T1574.001,DLL,Medium
T1119,Automated Collection,Medium
T1115,Clipboard Data,Medium
T1003.007,Proc Filesystem,Medium
T1583.005,Botnet,Medium
T1555.005,Password Managers,Medium
T1103,AppInit DLLs,Medium
T1553.001,Gatekeeper Bypass,Medium
T1675,ESXi Administration Command,High
T1608.004,Drive-by Target,Medium
T1007,System Service Discovery,Medium
T1040,Network Sniffing,Medium
T1017,Application Deployment Software,Medium
T1553.002,Code Signing,Medium
T1530,Data from Cloud Storage,Medium
T1565.003,Runtime Data Manipulation,Medium
T1552.002,Credentials in Registry,Medium
T1135,Network Share Discovery,Medium
T1120,Peripheral Device Discovery,Medium
T1036.009,Break Process Trees,Medium
T1590.004,Network Topology,Medium
T1587.002,Code Signing Certificates,Medium
T1222.001,Windows File and Directory Permissions Modification,Medium
T1137.006,Add-ins,Medium
T1505.002,Transport Agent,Medium
T1082,System Information Discovery,Medium
T1071,Application Layer Protocol,Medium
T1574.014,AppDomainManager,Medium
T1074.002,Remote Data Staging,Medium
T1098.006,Additional Container Cluster Roles,Medium
T1053,Scheduled Task/Job,High
T1218.007,Msiexec,Medium
T1162,Login Item,Medium
T1590.003,Network Trust Dependencies,Medium
T1498.002,Reflection Amplification,Medium
T1556.002,Password Filter DLL,Medium
T1505.005,Terminal Services DLL,Medium
T1059.002,AppleScript,High
T1176,Software Extensions,Medium
T1499.002,Service Exhaustion Flood,Medium
T1195.003,Compromise Hardware Supply Chain,High
T1106,Native API,High
T1558.005,Ccache Files,Medium
T1070.007,Clear Network Connection History and Configurations,Medium
T1558.004,AS-REP Roasting,Medium
T1058,Service Registry Permissions Weakness,Medium
T1584.003,Virtual Private Server,Medium
T1059.010,AutoHotKey & AutoIT,High
T1600.001,Reduce Key Space,Medium
T1070.003,Clear Command History,Medium
T1202,Indirect Command Execution,Medium
T1024,Custom Cryptographic Protocol,Medium
T1536,Revert Cloud Instance,Medium
T1091,Replication Through Removable Media,High
T1005,Data from Local System,Medium
T1140,Deobfuscate/Decode Files or Information,Medium
T1137.005,Outlook Rules,Medium
T1562,Impair Defenses,Medium
T1586.003,Cloud Accounts,Medium
T1586.002,Email Accounts,Medium
T1098.007,Additional Local or Domain Groups,Medium
T1608.001,Upload Malware,Medium
T1195,Supply Chain Compromise,High
T1190,Exploit Public-Facing Application,High
T1558,Steal or Forge Kerberos Tickets,Medium
T1555,Credentials from Password Stores,Medium
T1567,Exfiltration Over Web Service,Medium
T1219,Remote Access Tools,Medium
T1583.001,Domains,Medium
T1560.002,Archive via Library,Medium
T1055.003,Thread Execution Hijacking,Medium
T1079,Multilayer Encryption,Medium
T1036,Masquerading,Medium
T1546.011,Application Shimming,Medium
T1552,Unsecured Credentials,Medium
T1547.010,Port Monitors,Medium
T1070.008,Clear Mailbox Data,Medium
T1037.002,Login Hook,Medium
T1659,Content Injection,High
T1055,Process Injection,Medium
T1567.004,Exfiltration Over Webhook,Medium
T1139,Bash History,Medium
T1205,Traffic Signaling,Medium
T1021.008,Direct Cloud VM Connections,Medium
T1503,Credentials from Web Browsers,Medium
T1218,System Binary Proxy Execution,Medium
T1153,Source,High
T1038,DLL Search Order Hijacking,Medium
T1050,New Service,Medium
T1070.006,Timestomp,Medium
T1557.004,Evil Twin,Medium
T1620,Reflective Code Loading,Medium
T1016.002,Wi-Fi Discovery,Medium
T1480.002,Mutual Exclusion,Medium
T1564.011,Ignore Process Interrupts,Medium
T1611,Escape to Host,Medium
T1518.002,Backup Software Discovery,Medium
T1547.009,Shortcut Modification,Medium
T1010,Application Window Discovery,Medium
T1569.003,Systemctl,High
T1032,Standard Cryptographic Protocol,Medium
T1087.003,Email Account,Medium
T1062,Hypervisor,Medium
T1497.003,Time Based Checks,Medium
T1182,AppCert DLLs,Medium
T1218.003,CMSTP,Medium
T1563.001,SSH Hijacking,Medium
T1562.002,Disable Windows Event Logging,Medium
T1029,Scheduled Transfer,Medium
T1021.002,SMB/Windows Admin Shares,Medium
T1525,Implant Internal Image,Medium
T1572,Protocol Tunneling,Medium
T1218.002,Control Panel,Medium
T1599.001,Network Address Translation Traversal,Medium
T1608.002,Upload Tool,Medium
T1547.005,Security Support Provider,Medium
T1036.011,Overwrite Process Arguments,Medium
T1004,Winlogon Helper DLL,Medium
T1009,Binary Padding,Medium
T1550,Use Alternate Authentication Material,Medium
T1076,Remote Desktop Protocol,Medium
T1597.001,Threat Intel Vendors,Medium
T1011,Exfiltration Over Other Network Medium,Medium
T1602.002,Network Device Configuration Dump,Medium
T1589,Gather Victim Identity Information,Medium
T1131,Authentication Package,Medium
T1181,Extra Window Memory Injection,Medium
T1562.004,Disable or Modify System Firewall,Medium
T1560,Archive Collected Data,Medium
T1152,Launchctl,High
T1553.003,SIP and Trust Provider Hijacking,Medium
T1483,Domain Generation Algorithms,Medium
T1185,Browser Session Hijacking,Medium
T1021,Remote Services,Medium
T1071.003,Mail Protocols,Medium
T1556.007,Hybrid Identity,Medium
T1595.002,Vulnerability Scanning,Medium
T1059.009,Cloud API,High
T1596,Search Open Technical Databases,Medium
T1218.015,Electron Applications,Medium
T1562.012,Disable or Modify Linux Audit System,Medium
T1207,Rogue Domain Controller,Medium
T1553.006,Code Signing Policy Modification,Medium
T1610,Deploy Container,High
T1107,File Deletion,Medium
T1145,Private Keys,Medium
T1112,Modify Registry,Medium
T1543.004,Launch Daemon,Medium
T1580,Cloud Infrastructure Discovery,Medium
T1555.003,Credentials from Web Browsers,Medium
T1574.008,Path Interception by Search Order Hijacking,Medium
T1491,Defacement,Medium
T1535,Unused/Unsupported Cloud Regions,Medium
T1557.003,DHCP Spoofing,Medium
T1155,AppleScript,High
T1563,Remote Service Session Hijacking,Medium
T1564.013,Bind Mounts,Medium
T1027.001,Binary Padding,Medium
T1505.003,Web Shell,Medium
T1484.001,Group Policy Modification,Medium
T1217,Browser Information Discovery,Medium
T1552.004,Private Keys,Medium
T1583.004,Server,Medium
T1021.006,Windows Remote Management,Medium
T1011.001,Exfiltration Over Bluetooth,Medium
T1078.001,Default Accounts,High
T1547.003,Time Providers,Medium
T1183,Image File Execution Options Injection,Medium
T1085,Rundll32,High
T1031,Modify Existing Service,Medium
T1546.005,Trap,Medium
T1574.006,Dynamic Linker Hijacking,Medium
T1136.001,Local Account,Medium
T1681,Search Threat Vendor Data,Medium
T1674,Input Injection,High
T1092,Communication Through Removable Media,Medium
T1070.001,Clear Windows Event Logs,Medium
T1585.002,Email Accounts,Medium
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Medium
T1222,File and Directory Permissions Modification,Medium
T1003.001,LSASS Memory,Medium
T1053.001,At (Linux),High
T1176.002,IDE Extensions,Medium
T1179,Hooking,Medium
T1595,Active Scanning,Medium
T1027.016,Junk Code Insertion,Medium
T1547.011,Plist Modification,Medium
T1548,Abuse Elevation Control Mechanism,Medium
T1134.002,Create Process with Token,Medium
T1548.001,Setuid and Setgid,Medium
T1547.004,Winlogon Helper DLL,Medium
T1019,System Firmware,Medium
T1021.003,Distributed Component Object Model,Medium
T1042,Change Default File Association,Medium
T1117,Regsvr32,High
T1110.003,Password Spraying,Medium
T1090.002,External Proxy,Medium
T1056.003,Web Portal Capture,Medium
T1589.002,Email Addresses,Medium
T1164,Re-opened Applications,Medium
T1054,Indicator Blocking,Medium
T1598.004,Spearphishing Voice,Medium
T1108,Redundant Access,Medium
T1193,Spearphishing Attachment,High
T1003.005,Cached Domain Credentials,Medium
T1098.004,SSH Authorized Keys,Medium
T1673,Virtual Machine Discovery,Medium
T1215,Kernel Modules and Extensions,Medium
T1101,Security Support Provider,Medium
T1590.006,Network Security Appliances,Medium
T1546.012,Image File Execution Options Injection,Medium
T1218.008,Odbcconf,Medium
T1593.002,Search Engines,Medium
T1177,LSASS Driver,High
T1591.002,Business Relationships,Medium
T1548.005,Temporary Elevated Cloud Access,Medium
T1125,Video Capture,Medium
T1144,Gatekeeper Bypass,Medium
T1045,Software Packing,Medium
